propertyId,postalCode,typeOfProperty,subtypeOfProperty,price,typeOfSale,numberOfRooms,livingArea,equippedKitchen,furnished,openFire,garden,surfaceOfGood,numberOfFacades,swimmingPool,stateOfBuilding,terraceSurface,hasBasement,hasDisabledAccess,hasLift,livingRoomSurface,electricalInstallationCertificate,gScore,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,hasDoubleGlazing,epcScore,primaryEnergyConsumptionPerSqm,renovationObligation,cadastralIncome,parkingCountIndoor,parkingCountOutdoor
20408404,5575,0,0,160000,0,5,0.0,-1,0,0,-1,750.0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,820,-1,362,0,0
20408476,8300,1,1,395000,0,5,41.0,-1,0,0,0,41.0,-1,0,-1,0,-1,-1,1,0,1,0,3,0,0,0,-1,2,144,0,647,0,0
20408482,3530,0,0,310000,0,10,173.0,1,0,0,-1,1060.0,-1,0,-1,0,1,0,0,0,1,0,0,0,0,0,1,3,219,0,659,0,0
20408499,5020,0,0,275000,0,14,107.0,2,0,0,-1,786.0,4,0,3,0,1,0,0,0,-1,-1,1,0,0,0,1,-1,632,-1,-1,1,0
20408512,8300,1,19,1475000,0,1,116.0,-1,0,0,0,116.0,2,0,2,16,-1,0,1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0
20408592,9880,0,0,945000,0,8,541.0,3,0,0,-1,789.0,3,0,2,0,-1,0,0,0,-1,1,0,-1,-1,-1,-1,3,249,0,1050,0,4
20408714,1180,1,1,280000,0,6,72.0,1,0,0,0,72.0,2,0,2,0,1,0,0,21,1,-1,0,0,0,0,1,5,266,-1,-1,0,0
20408861,1070,1,1,199000,0,4,60.0,2,0,0,0,60.0,2,0,1,3,-1,0,0,23,1,-1,0,-1,-1,-1,1,-1,506,-1,-1,0,0
20408885,1030,1,1,215000,0,4,74.0,1,0,0,41,74.0,2,0,-1,0,-1,-1,-1,0,1,-1,0,0,0,0,1,-1,-1,-1,-1,0,0
20408890,6032,0,0,279000,0,8,200.0,1,0,0,-1,400.0,3,0,4,0,1,0,0,0,-1,-1,0,-1,-1,-1,1,4,280,-1,-1,0,0
20408956,3630,0,0,299000,0,1,182.0,-1,0,0,-1,824.0,3,0,1,0,-1,0,0,0,-1,0,1,-1,0,0,1,6,640,1,421,0,0
20408964,3630,1,1,169000,0,1,78.0,-1,0,0,0,78.0,2,0,2,0,-1,0,0,0,-1,0,0,-1,0,0,1,3,297,0,550,0,0
20408971,3970,1,18,269500,0,1,86.0,-1,0,0,0,86.0,-1,0,1,10,-1,1,1,0,-1,-1,0,-1,1,0,1,-1,-1,-1,-1,1,0
20408981,3630,0,0,369000,0,1,136.0,-1,0,0,-1,647.0,3,0,2,0,-1,0,0,0,-1,0,0,-1,0,0,1,2,195,0,563,0,0
20408990,1980,1,1,417500,0,4,115.0,-1,0,0,49,115.0,-1,0,-1,11,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20408991,1980,1,1,341500,0,4,93.0,1,0,0,0,93.0,-1,0,-1,8,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,0,0
20408992,1980,1,22,560000,0,3,108.0,-1,0,0,0,108.0,-1,0,-1,86,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
20409090,3220,0,0,387000,0,5,251.0,2,0,0,346,804.0,4,0,3,20,1,0,0,0,1,2,0,-1,-1,-1,-1,6,529,1,743,2,1
20409207,9255,0,0,245000,0,5,129.0,-1,0,0,-1,283.0,2,0,3,0,-1,0,0,0,-1,0,0,-1,-1,-1,1,5,460,1,671,1,0
20409309,3770,0,0,449000,0,8,220.0,3,0,0,359,497.0,3,0,-1,0,1,0,0,47,-1,0,0,-1,-1,-1,1,2,173,0,-1,1,2
20409316,9600,0,0,119000,0,8,153.0,1,0,0,-1,60.0,2,0,0,0,1,0,0,18,-1,0,0,-1,-1,-1,1,4,343,0,302,0,0
20409354,1800,0,13,445000,0,11,380.0,2,0,0,25,380.0,2,0,5,0,1,0,0,70,-1,-1,0,0,0,0,0,-1,-1,-1,2883,0,0
20409388,6240,0,0,179000,0,8,138.0,-1,0,0,1,460.0,3,0,1,1,1,0,0,0,-1,-1,1,0,0,0,1,-1,528,-1,594,1,1
