id,subtype,bedroomCount,postCode,habitableSurface,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,parkingCountOutdoor,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,terraceSurface,price,epc_kwh
20486318,309460,3,3454,133,0,395196,2024,2,0,1,0,336419,0,0,0,2,0,0,6,445000,225
20557672,309460,1,3454,36,0,395196,2002,1,0,0,0,336419,0,0,0,1,0,0,0,189000,400
20492590,309460,3,3454,104,0,395196,2007,2,0,0,0,336419,0,0,1,2,0,0,0,498000,300
11028538,309460,2,3454,120,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,479000,225
11022792,309460,3,3454,137,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,529000,225
11024175,309460,3,3454,137,0,337048,1980,3,0,0,0,336419,0,0,0,1,0,0,0,549000,225
20255429,347187,2,3454,70,0,395196,2016,4,0,0,0,336419,0,1,0,2,0,0,5,334900,75
20221172,309460,3,3454,133,0,337048,1980,3,1,0,0,336419,0,0,0,2,0,0,0,595000,225
11012323,347187,3,3454,136,0,266634,1933,3,0,0,0,336419,136,0,0,1,0,0,0,185000,225
20650595,309460,1,3454,29,0,337048,1957,2,0,0,0,336419,0,0,0,1,0,0,5,75000,400
20593213,347187,3,3454,68,0,395196,2013,4,0,0,0,336419,173,1,0,2,0,0,105,265000,500
20650596,309460,1,3454,29,0,337048,1957,2,0,0,0,336419,0,0,0,1,0,0,5,75000,400
20547911,309460,1,3454,40,0,337048,1963,3,0,0,0,336419,0,0,0,1,0,0,0,150000,150
20638326,347187,3,3454,83,0,337048,1992,3,0,0,0,336419,0,0,0,2,0,0,0,249000,300
20642150,309460,2,3454,67,0,337048,1975,3,0,0,0,336419,0,1,0,1,0,0,0,225000,225
11436402,309460,1,3454,30,0,395196,1988,3,0,0,0,336419,0,0,0,1,0,0,0,76000,500
20551950,309460,2,3454,85,0,337048,1995,3,0,0,0,336419,0,0,0,1,0,0,3,235000,225
20625653,309460,3,3454,85,0,395196,1997,3,0,0,0,336419,0,2,0,2,0,0,2,299000,225
20586970,309460,2,3454,75,0,337048,1973,3,0,0,0,336419,0,0,0,1,0,0,8,330000,150
20519916,347187,2,3454,60,0,337048,2003,3,0,0,0,270162,204,1,0,1,0,0,25,215000,400
20318447,309460,2,3454,92,0,395196,2015,3,0,0,0,429914,0,0,0,2,0,0,9,398000,150
20624639,309460,3,3454,147,0,395196,2024,3,0,0,0,422399,0,0,1,2,0,0,13,635000,75
20473832,347187,4,3454,205,0,279630,1978,4,0,0,0,422399,436,0,0,2,0,0,0,479000,500
20480248,347187,3,3454,137,0,337048,2022,3,1,1,0,336419,285,0,0,2,0,0,0,695000,75
20210969,309460,2,3454,80,0,337048,1976,3,0,0,0,336419,0,0,0,1,0,0,6,325000,150
20438540,309460,1,3454,40,0,395196,1980,3,0,0,0,336419,0,0,0,1,0,0,0,169000,150
20219713,309460,1,3454,60,0,395196,1972,3,0,0,0,336419,0,0,0,1,0,0,5,209000,150
20391512,309460,2,3454,85,0,395196,1980,2,0,0,0,429914,0,0,0,1,0,0,1,395000,150
20502879,347187,4,3454,165,0,337048,1982,3,0,0,0,336419,295,1,0,2,0,0,0,485000,150
20201056,175424,1,3454,27,0,337048,1930,2,0,0,0,336419,0,0,0,1,0,0,0,89500,300
